location,gender,application_year,award_amount
"Broken Bow, NE",Female,1,1000.0
"Auburn, NE",Female,1,1000.0
"Walthill, NE",Male,1,1000.0
"Brunswick, NE",Male,1,1000.0
"Brownville, NE",Male,1,970.0
"Ashland, NE",Male,1,968.07
"Elkhorn, NE",Female,2,954.96
"Arcadia, NE",Female,1,935.6300000000001
"Farwell, NE",Female,1,903.62
"Omaha,, NE",Female,1,895.37
"HASTINGS, NE",Female,1,881.38
"Tecumseh, NE",Male,1,878.95
"Fremont, NE",Transgender Female,1,875.0
"ONCONTO, NE",Female,1,872.94
"Jansen, NE",Male,1,853.26
"JUANIATA, NE",Female,1,845.0
"Crab Orchard, NE",Female,1,843.6
"Bison, SD",Male,1,825.0
"Nelson, NE",Female,1,811.0
"Bridgeport, NE",Male,1,800.0
"SUPERIOR, NE",Male,1,800.0
"Exeter, NE",Male,1,769.99
"YORK, NE",Male,1,750.0
"Hastings, NE",Female,2,750.0
"Raymond, NE",Female,1,744.0
"Columbus, NE",Male,1,741.62
"Concord, NE",Male,1,737.42
"Hershey, NE",Female,1,721.87
"HASTINGS, NE",Female,2,718.62
"TEKAMAH, NE",Female,1,713.91
"Lincoln, Ne",Female,1,709.89
"ARAPAHOE, NE",Male,1,702.28
"Syracuse, NE",Male,2,700.0
"Inavale, NE",Female,1,700.0
"Ashland, NE",Female,1,695.0
"Cairo, NE",Female,1,650.0
"St. Paul, NE",Female,1,650.0
"Hastings, NE",Male,2,637.4
"Pawnee City, NE",Male,1,610.59
"Cambridge, NE",Female,1,584.19
"Stromsburg, NE",Female,2,576.1
"Gilead, NE",Male,1,562.56
"glenwood, IA",Female,1,550.0
"omaha, NE",Female,1,529.0
"Bennet, NE",Male,1,518.9200000000001
"Utica, NE",Female,1,516.25
"Roseland, NE",Male,1,500.0
"Friend, NE",Female,1,500.0
"maskell, ne",Female,1,500.0
"Panama, Ne",Female,1,500.0
"Valparaiso, NE",MAle,1,500.0
"Adams, NE",Female,1,500.0
"Wahoo, NE",Male,1,500.0
"Superior, NE",Female,1,500.0
"Humboldt, NE",Female,1,500.0
"La Vista, NE",Male,1,500.0
"Oshkosh, NE",Female,1,500.0
"Fairfield, NE",Male,1,500.0
"Central City, NE",Female,1,500.0
"Exeter, NE",Male,2,500.0
"Inland, NE",Male,1,500.0
"Crookston, NE",Female,2,500.0
"Liberty, NE",Female,1,500.0
"Dwight, NE",Female,1,500.0
"OMAHA, NE",Male,3,500.0
"Missing, Missing",Missing,5,498.98
"Bennington, NE",Female,1,482.37
"Wood River, NE",Missing,2,461.59000000000003
"York, NE",Female,2,457.33
"NORTH PLATTE, NE",Female,1,455.0
"Otoe, NE",Male,2,450.0
"Grand Island, NE",Male,3,443.96
"Missing, NE",Female,1,435.4
"rosalie, NE",Female,1,400.0
"Holstein, NE",Male,1,400.0
"Ayr, NE",Female,1,400.0
"Sutton, NE",Female,1,387.0
"Missing, Missing",Missing,4,375.0
"Omaha,, NE",Female,2,361.81
"Chapman, NE",Female,1,350.0
"FREMONT, NE",Male,1,348.49
"Edgar, NE",Female,1,346.76
"Panama, NE",Female,1,346.65999999999997
"Stromsburg, NE",Female,1,331.0
"BELLEVUE, NE",Male,1,305.69
"Stamford, NE",Female,1,303.84
"Prague, NE",Female,1,300.0
"Crookston, NE",Female,1,300.0
"Wahoo, NE",Female,1,300.0
"Lincoln, ne",Female,2,272.0
"Polic, NE",Female,1,267.47
"GRAND ISLAND, NE",Male,3,265.95
"Taylor, NE",Male,1,250.0
"ASHLAND, NE",Male,6,250.0
"Holdrege, NE",Male,1,250.0
"LIncoln, NE",Female,1,250.0
"Wood Lake, NE",Male,1,250.0
"PLEASANTON, NE",Female,2,250.0
"Blue Rapids, KS",Male,1,250.0
"Bladen, NE",Female,1,250.0
"Red Cloud, NE",Female,1,250.0
"SUPERIOR, NE",Female,1,250.0
"PAPILLION, NE",Female,1,248.0
"Chaule, KS",Male,1,245.83999999999997
"Elwood, NE",Female,1,242.67000000000002
"FREMONT, NE",Female,1,235.0
"LINCOLN, NE",Female,1,202.0
"St Paul, NE",Male,1,200.0
"Benkelman, NE",Female,1,200.0
"Loomis, NE",Male,1,200.0
"Campbell, NE",Male,1,200.0
"Tecumseh, NE",Female,2,200.0
"KEARNEY, NE",Female,3,200.0
"Persia, Iowa",Male,1,200.0
"Wood Lake, NE",Male,2,185.99
"BROKEN BOW, NE",Male,1,170.98
"FULLERTON, NE",Female,1,170.41
"Holdrege, NE",Female,1,119.0
"SAINT PAUL, NE",Female,1,100.0
"Hastings, NE",Male,3,92.61
"COIN, IA",Male,1,84.0
"ord, NE",Female,1,71.0
"Saint Paul, NE",Male,1,66.91
"LEXINGTON, NE",Female,3,63.09
"Missing, Missing",Male,3,39.0
"GRAND ISLAND, NE",Male,4,27.0
"Norfolk, Ne",Female,1,24.0
"Elkhorn, Ne",Female,1,0.0
"Wilber, NE",Male,1,0.0
"Superior (?), NE",Male,1,0.0
"Bladen, NE",Male,1,0.0
"Blue Hill, NE",Male,1,0.0
"Bennington, NE",Male,1,0.0
"WOOD RIVER, NE",Female,1,0.0
"COUNCIL BLUFFS, IA",Male,2,0.0
"Palm Coast, Florida",Female,1,0.0
"Ralston, NE",Female,1,0.0
